"","departamento","Tamano_Muestra","Cargado","Marcada_Tiempo","Borrado","Aceptado","Restante"
"1","bogota_dc",478,497,19,0,497,-19
"2","antioquia",444,458,13,0,458,-14
"3","norte_de_santander",1085,1128,565,0,1128,-43
"4","valle_del_cauca",570,475,48,0,475,95
"5","atlantico",391,406,41,0,406,-15
"6","la_guajira",831,879,343,0,879,-48
"7","cundinamarca",391,396,15,0,396,-5
"8","santander",365,373,23,0,373,-8
"9","bolivar",364,373,19,0,373,-9
"10","magdalena",352,364,5,0,364,-12
"11","cesar",346,359,2,0,359,-13
"12","arauca",918,952,430,0,952,-34
"13","narino",465,410,140,0,410,55
"14","",4842,5006,1140,0,5006,-164
